,EudraCT Number:,Country,Member State,Start Date,End Date,Trial Status:,Therapeutic area,Main objective of the trial,Trial Scope,Trial Phase,Age Group,Gender
56715,2019-004548-31,Spain,Spain - AEMPS,2020-01-14,2022-06-29,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"Efficacy: -To provide evidence on the antidepressant efficacy of two therapeutic treatments: pharmacological treatment (citalopram) and psychotherapy treatment, in women diagnosed with breast cancer and major depression. Eficacia: -Aportar evidencia sobre la eficacia antidepresiva de dos estrategias terapéuticas: tratamiento farmacológico (citalopram) y tratamiento con psicoterapia, en mujeres diagnosticadas de CM y DM.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)",Female
56826,2021-006108-34,Netherlands,Netherlands - Competent Authority,2022-08-13,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"TEMPO will directly compare i) conventional dose reduction versus ii) gradual tapering in patients with remitted major depressive disorder (MDD) who use either the commonly used antidepressants paroxetine (PAR) or venlafaxine (VLX) to evaluate the number of patients that can successfully discontinue PAR or VLX based on either discontinuation symptoms or relapse of MDD. TEMPO zal i) conventionele dosisverlaging direct vergelijken met ii) geleidelijk afbouwen bij patiënten die in remissie zijn van een depressie, die of het antidepressivum paroxetine (PAR) of venlafaxine (VLX) gebruiken. We gaan evalueren hoeveel patiënten met succes kan stoppen met PAR of VLX op basis van ofwel ontwenningsverschijnselen of terugval in de depressieve stoornis.","Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
56853,2017-000803-25,United Kingdom,Bulgarian Drug Agency,2019-06-07,2022-09-05,Completed,Psychiatry and Psychology [F] - Behaviours [F01],"1) To evaluate the efficacy and safety of cariprazine at a target dose of 3.0 mg/d compared with placebo in prevention of relapse in patients with bipolar I disorder whose current episode (ie, index episode) is manic or depressive, with or without mixed features;  2) To evaluate the efficacy and safety of cariprazine at a target dose of 1.5 mg/d compared with placebo in prevention of relapse in patients with bipolar I disorder whose current episode (ie, index episode) is manic or depressive, with or without mixed features, who were initially stabilized on a target dose of 3.0 mg/d","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
56872,2017-000803-25,United Kingdom,Romania - National Agency for Medicines and Medical Devices,2022-03-08,,Completed,Psychiatry and Psychology [F] - Behaviours [F01],"1) To evaluate the efficacy and safety of cariprazine at a target dose of 3.0 mg/d compared with placebo in prevention of relapse in patients with bipolar I disorder whose current episode (ie, index episode) is manic or depressive, with or without mixed features;  2) To evaluate the efficacy and safety of cariprazine at a target dose of 1.5 mg/d compared with placebo in prevention of relapse in patients with bipolar I disorder whose current episode (ie, index episode) is manic or depressive, with or without mixed features, who were initially stabilized on a target dose of 3.0 mg/d","Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57024,2018-004532-30,Netherlands,Italy - Italian Medicines Agency,2021-06-17,2022-04-27,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the long-term safety and tolerability of PP6M (700 or 1000 mg eq.) and to provide access to PP6M in subjects with schizophrenia completing the R092670PSY3015 study without relapse Valutare la sicurezza e tollerabilità a lungo termine di PP6M (700 o 1000 mg eq.) e fornire accesso a PP6M a soggetti con schizofrenia che completano lo studio R092670PSY3015 senza sviluppare recidive,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57031,2018-004532-30,Netherlands,Poland - Office for Medicinal Products,2019-06-18,2022-04-27,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the long-term safety and tolerability of PP6M (700 or 1000 mg eq.) and to provide access to PP6M in subjects with schizophrenia completing the R092670PSY3015 study without relapse.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57181,2015-000502-19,Austria,Austria - BASG,2016-05-19,2022-05-31,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"1. To examine the influence of high-dose, long-term opposite-sex hormone treatment on serotonin synthesis in FtM and MtF transsexuals using the radiotracer [11C]5-HTP. 2. To examine the influence of high-dose, long-term opposite-sex hormone treatment on serotonin degradation in FtM and MtF transsexuals using the radiotracer [11C]harmine.",Therapy,Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
57326,2019-002897-30,United States,Spain - AEMPS,2020-01-10,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the safety and tolerability of brexpiprazole for the treatment of subjects with a diagnosis of BPD. Evaluar la seguridad y tolerabilidad de brexpiprazol para el tratamiento de sujetos con diagnóstico de TLP.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
57333,2019-001834-33,Italy,Italy - Italian Medicines Agency,2020-07-16,,Ongoing,Psychiatry and Psychology [F] - Behaviours [F01],"Primary The primary objective of the present study is to demonstrate the efficacy of Sodium Oxybate in reducing the alcohol consumption, in the population of alcoholdependent with High or Very High Drinking Risk Level (HDRL and VHDRL), as measured by the number of HDDs. L'obiettivo principale del presente studio è di dimostrare l'efficacia del sodio oxibato nel ridurre il consumo di alcol, nella popolazione di alcol dipendente con rischio elevato o molto elevato di bere (HDRL e VHDRL), misurato dal numero di HDD.","Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
57444,2016-000215-32,Belgium,Belgium - FPS Health-DGM,2016-04-13,2020-11-20,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"To assess the efficacy of Pycnogenol® for improving ADHD and ADD behaviour as rated by parents as compared to placebo and Medikinet Retard. Het onderzoeken van het effect van Pycnogenol op ADHD of ADD gedrag beoordeeld door ouders, vergeleken met placebo en Medikinet Retard.","Therapy, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
57455,2016-000048-32,Germany,Germany - BfArM,2017-10-10,2018-11-26,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"The ICD-10 defines chronic pain due to only psychological factors (F45.40) and chronic pain due to psychological and somatic factors (F45.41). The phenotypes of both diagnoses are overlapping and it could be shown that patients with somatoform pain disorders have a decreased pain threshold compared to a control group. Both in male and female patients, there is data pointing towards a pain reducing capacity of additional testosterone treatment. Additionally it could be shown that sport and movement is able to alleviate pain symptoms. If this holds true for patients with somatoform pain disorder, is an open question. Therefore, the objective of the present study is to apply additional testosterone Treatment (= additional to ""treatment as usual"") to patients with somatoform pain disorder (F45.40 and F45.41) over the course of 8 weeks. During this course the effects of testosterone on the subjective pain threshold before and after endurance training should be investigated.","Diagnosis, Therapy, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
57643,2018-002782-19,United Kingdom,Germany - BfArM,2019-02-27,2021-09-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To evaluate the efficacy, safety, and tolerability of cariprazine 1.5 mg/day and 3 mg/day compared with placebo as an adjunctive treatment to antidepressant therapy (ADT) in patients with major depressive disorder (MDD) who have had an inadequate response to antidepressants alone.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57646,2018-002782-19,United Kingdom,Hungary - National Institute of Pharmacy,2019-05-03,2021-09-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To evaluate the efficacy, safety, and tolerability of cariprazine 1.5 mg/day and 3 mg/day compared with placebo as an adjunctive treatment to antidepressant therapy (ADT) in patients with major depressive disorder (MDD) who have had an inadequate response to antidepressants alone.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57662,2018-002782-19,United Kingdom,Bulgarian Drug Agency,2019-06-11,2021-09-30,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"To evaluate the efficacy, safety, and tolerability of cariprazine 1.5 mg/day and 3 mg/day compared with placebo as an adjunctive treatment to antidepressant therapy (ADT) in patients with major depressive disorder (MDD) who have had an inadequate response to antidepressants alone.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57673,2018-002782-19,United Kingdom,UK - MHRA,2019-07-16,,GB - no longer in EU/EEA,Psychiatry and Psychology [F] - Mental Disorders [F03],"To evaluate the efficacy, safety, and tolerability of cariprazine 1.5 mg/day and 3 mg/day compared with placebo as an adjunctive treatment to antidepressant therapy (ADT) in patients with major depressive disorder (MDD) who have had an inadequate response to antidepressants alone.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57697,2020-003768-16,Netherlands,Netherlands - Competent Authority,2021-02-27,,Ongoing,Psychiatry and Psychology [F] - Psychological processes [F02],The primary aim of this study is to show that roflumilast can improve verbal memory performance in people who suffered a stroke. We will use the Verbal Word Learning Test (VWLT) and measure the delayed recall performance (after about 30 min). This test has been found to be sensitive for the positive effects of roflumilast in our previous studies. The tests measures episodic memory that reflects memory for personal events.,"Therapy, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57807,2011-002181-20,Norway,Norway - NOMA,2011-06-29,2012-01-31,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],To reduce risk of relapse to heavy drinking.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57841,2022-001563-26,Sweden,Sweden - MPA,2022-08-05,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary research question is: Will treatment with Pramipexole at the highest possible dosage (without intolerable side effects, max 3.15 mg base) reduce anhedonia symptoms over a nine-week period compared to placebo?  For complete information, please see study protocol.  Den primära frågeställningen är: Kommer behandling med pramipexol i högsta möjliga dosering (utan intolererbara biverkningar, max 3,15 mg bas) minska anhedonisymptom under en nioveckorsperiod jämfört med placebo-behandling?  För fullständig infroamtion, var god se studieprotokoll.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
57873,2011-004177-83,Netherlands,Netherlands - Competent Authority,2011-09-07,,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],"In recently traumatized individuals (at the latest on day ten post trauma exposure) with a high initial level of distress, we aim to assess the effectiveness of intranasal OT and a semi-structured social support intervention in preventing symptoms of PTSD at one and three months post trauma follow-up. Het primaire studiedoel is om in recent getraumatiseerden met een hoog niveau van acute stress-klachten de effectiviteit van intranasale oxytocine (OT) behandelingen en een semi-gestructureerde sociale steun interventie op PTSS symptomen tijdens één en drie maanden na het trauma te onderzoeken.","Prophylaxis, Therapy, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
57884,2022-000581-17,United States,Bulgarian Drug Agency,2022-08-18,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the efficacy of 2 fixed oral doses (15 mg QD and 30 mg QD) of emraclidine in adult participants with schizophrenia experiencing an acute exacerbation of psychosis,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
57887,2022-000581-17,United States,Hungary - National Institute of Pharmacy,2022-08-15,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the efficacy of 2 fixed oral doses (15 mg QD and 30 mg QD) of emraclidine in adult participants with schizophrenia experiencing an acute exacerbation of psychosis,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
58232,2017-003536-36,United States,Czechia - SUKL,2018-06-25,2022-05-06,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the safety and tolerability of pimavanserin compared to placebo in adult and elderly subjects with neuropsychiatric symptoms related to neurodegenerative disease,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
58247,2017-004439-36,United States,Romania - National Agency for Medicines and Medical Devices,2022-05-25,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the safety and tolerability of long-term pimavanserin treatment in adult and elderly subjects with neuropsychiatric symptoms related to neurodegenerative disease,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
58258,2017-003536-36,United States,Bulgarian Drug Agency,2018-07-18,2022-05-06,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the safety and tolerability of pimavanserin compared to placebo in adult and elderly subjects with neuropsychiatric symptoms related to neurodegenerative disease,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
58259,2017-004439-36,United States,Czechia - SUKL,2018-06-25,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the safety and tolerability of long-term pimavanserin treatment in adult and elderly subjects with neuropsychiatric symptoms related to neurodegenerative disease,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
58265,2017-003536-36,United States,Romania - National Agency for Medicines and Medical Devices,2022-05-25,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the safety and tolerability of pimavanserin compared to placebo in adult and elderly subjects with neuropsychiatric symptoms related to neurodegenerative disease,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
58271,2017-004439-36,United States,Bulgarian Drug Agency,2018-07-18,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To assess the safety and tolerability of long-term pimavanserin treatment in adult and elderly subjects with neuropsychiatric symptoms related to neurodegenerative disease,"Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
58384,2014-000129-19,Sweden,Sweden - MPA,2014-03-25,,Prematurely Ended,Psychiatry and Psychology [F] - Mental Disorders [F03],study if NPY decreases symptoms of depression,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
58864,2007-001573-28,Germany,Germany - BfArM,2008-03-06,2014-10-28,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"Drawing on the first evaluations of SPS, ethical, acceptance and compliance considerations, the study addresses the following principal research questions (PRQ): (1) Are clinical management and aripiprazole combined (CM+ARI) more effective in PAR than CM and placebo combined (CM+PL)? (2) Is CBT more effective in PAR than CM+PL? (3) Is CBT not less effective in PAR than CM+ARI?  If PRQ 1-3 will be answered positively, there will be substantial empirical evidence for SPS. Moreover, the results will suggest that AN and CBT are comparable effective. Thus PAR will benefit from a choice of prevention strategies. Thereby acceptance, tolerance and compliance with SPS efforts in PAR, in their families and in the general population is likely to improve.  The major motivation for the study is to answer PRQ 1, 2 and 3 regarding the primary aim of SPS, the “delay or prevention of progression to psychosis”.","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
59039,2020-000829-55,Denmark,Denmark - DHMA,2020-10-27,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"The aim of this research project is to evaluate the effect of a single administration of the 5-HT2A receptor agonist Psilocybin on heavy drinking days from baseline to follow-up after 12 weeks in patients with alcohol use disorder, in a randomized, double-blinded, placebo-controlled clinical trial.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
59049,2021-002011-61,Netherlands,Netherlands - Competent Authority,2021-06-21,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"The objective of this study is to examine the efficacy of riluzole, a modulator of the glutamate /GABA balance, for treatment of psychotic symptoms and cognitive impairment in 22q11.2DS patients. Het doel van deze studie is om de werkzaamheid te onderzoeken van riluzol, een glutamaat / GABA modulator, voor de behandeling van psychotische symptomen en cognitieve stoornissen bij 22q11.2DS-patiënten.","Therapy, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
59360,2020-002905-24,Netherlands,Netherlands - Competent Authority,2021-06-10,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To investigate the anti-suicidal effects of a single dose of intranasal ketamine in acutely suicidal subjects. Het onderzoeken van het antisuïcidale effect van een eenmalige dosering van intranasale ketamine in acuut suïcidale proefpersonen.,"Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
59666,2019-003109-92,Ireland,Ireland - HPRA,2019-10-02,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"To conduct a pragmatic randomised controlled patient- and rater-blinded trial of repeated adjunctive twice-weekly ketamine vs. midazolam infusions over four-weeks for patients hospitalised for severe depression and assess the MADRS score difference between arms from before the first infusion to 24 hours after the final infusion, supplemented by a 95% confidence interval. There will also be a 24 week follow-up.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
59832,2022-002940-27,Denmark,Denmark - DHMA,2022-09-26,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To investigate safety and treatment effect of an allogeneic adipose tissue derived mesenchymal stromal cell product (CSCC_ASC) in children with autism spectrum disorder and gastrointestinal symptoms. At vurdere sikkerhed og behandlingseffekt af et stamcelleprodukt (CSCC_ASC) hos børn med autismespektrumforstyrrelse og mave-tarmproblemer.,"Therapy, Safety, Efficacy",Human pharmacology (Phase I),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
60208,2018-001514-15,Germany,Germany - BfArM,2018-09-03,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective is to investigate the symptomatic remission rates in non-treatment-refractory patients with schizophrenia randomized to either early clozapine or olanzapine over an 8-week period. Der primäre Endpunkt ist die symptomatische Remissionsrate von nicht-therapierefraktären Patienten mit einer Schizophrenie, die nach Randomisierung entweder Clozapin oder Olanzapin über einen Zeitraum von 8 Wochen erhalten haben.","Therapy, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
60326,2022-001997-70,Cyprus,Cyprus - MoH-Ph.S,2022-11-17,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],"The long-term aim of the project is to identify novel, faster-acting medications for (i) promoting retention to the opioid substitution treatment, (ii) reversing/preventing comorbid affective disorders and (iii) maintain opioid abstinence in abstaining opioid dependent patients. In addition, PROUD aims to identify novel biomarkers predicting vulnerability to relapse to opioid-taking during abstinence. Our studies will contribute to improved treatment strategies for prevention of relapse to opioid use following long-term abstinence in patients.","Therapy, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
60426,2019-000697-37,France,Latvia - SAM,2019-06-18,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the efficacy of fixed doses of SEP-363856 (75 and 100 mg/day) compared with placebo in acutely psychotic adult subjects with schizophrenia as measured by the Positive and Negative Syndrome Scale (PANSS) total score.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
60465,2019-000697-37,France,Croatia - MIZ,2022-11-29,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To evaluate the efficacy of fixed doses of SEP-363856 (75 and 100 mg/day) compared with placebo in acutely psychotic adult subjects with schizophrenia as measured by the Positive and Negative Syndrome Scale (PANSS) total score.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
60772,2019-000737-39,United States,Estonia - SAM,2020-01-14,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],The primary objective is to evaluate the efficacy of oral AD04 0.33 mg administered BID in conjunction with brief psychosocial counselling for a period of 24 weeks in reducing alcohol consumption among currently consuming subjects with AUD having selected genotypes at the serotonin transporter and receptor genes.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
60776,2008-005353-38,Denmark,Estonia - SAM,2015-12-09,2022-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60778,2019-000737-39,United States,Croatia - MIZ,2020-11-20,2022-03-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],The primary objective is to evaluate the efficacy of oral AD04 0.33 mg administered BID in conjunction with brief psychosocial counselling for a period of 24 weeks in reducing alcohol consumption among currently consuming subjects with AUD having selected genotypes at the serotonin transporter and receptor genes.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
60779,2008-005353-38,Denmark,Germany - BfArM,2016-03-07,2022-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60780,2008-005353-38,Denmark,Hungary - National Institute of Pharmacy,2016-03-01,2022-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60783,2008-005353-38,Denmark,Italy - Italian Medicines Agency,2016-03-08,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60784,2008-005353-38,Denmark,Bulgarian Drug Agency,2016-04-01,2022-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60792,2008-005353-38,Denmark,Spain - AEMPS,2016-03-18,,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD. Evaluación de la eficacia de 10 mg/día y de 20 mg/día de vortioxetina en comparación con placebo sobre los síntomas depresivos en niños con TDM según el DSM-5™.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60794,2019-000737-39,United States,Finland - Fimea,2019-10-31,2022-03-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],The primary objective is to evaluate the efficacy of oral AD04 0.33 mg administered BID in conjunction with brief psychosocial counselling for a period of 24 weeks in reducing alcohol consumption among currently consuming subjects with AUD having selected genotypes at the serotonin transporter and receptor genes.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
60803,2019-000737-39,United States,Latvia - SAM,2020-01-15,2022-03-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],"The primary objective of the study is to evaluate the efficacy of AD04 [ondansetron, 0.33 mg, orally (p.o.) twice a day (BID) for a period of 24 weeks] in conjunction with brief psychosocial counselling to reduce alcohol consumption in subjects with alcohol use disorder (AUD) having selected genotypes at the serotonin transporter and receptor genes.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
60815,2008-005353-38,Denmark,Latvia - SAM,2015-11-25,2022-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60832,2019-000737-39,United States,Sweden - MPA,2019-10-02,2022-03-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],The primary objective is to evaluate the efficacy of oral AD04 0.33 mg administered BID in conjunction with brief psychosocial counselling for a period of 24 weeks in reducing alcohol consumption among currently consuming subjects with AUD having selected genotypes at the serotonin transporter and receptor genes.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
60837,2019-000737-39,United States,Poland - Office for Medicinal Products,2019-12-13,2022-03-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],The primary objective is to evaluate the efficacy of oral AD04 0.33 mg administered BID in conjunction with brief psychosocial counselling for a period of 24 weeks in reducing alcohol consumption among currently consuming subjects with AUD having selected genotypes at the serotonin transporter and receptor genes.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
60844,2008-005353-38,Denmark,France - ANSM,2016-05-03,2022-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD. Évaluer l’efficacité de la vortioxétine 10 mg/jour et 20 mg/jour contre placebo sur les symptômes de dépression chez des enfants ayant un diagnostic de TDM selon les critères du DSM-5™.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60854,2008-005353-38,Denmark,Poland - Office for Medicinal Products,2016-04-15,2022-01-21,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60861,2008-005353-38,Denmark,Finland - Fimea,2016-03-01,,Not Authorised,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60865,2008-005353-38,Denmark,UK - MHRA,2016-02-16,,GB - no longer in EU/EEA,Psychiatry and Psychology [F] - Mental Disorders [F03],Evaluation of the efficacy of vortioxetine 10 mg/day and 20 mg/day versus placebo on depressive symptoms in children with a DSM-5™ diagnosis of MDD.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Children (2-11years),"Female, Male"
60870,2019-000737-39,United States,Bulgarian Drug Agency,2019-12-03,2022-03-18,Completed,Psychiatry and Psychology [F] - Mental Disorders [F03],The primary objective is to evaluate the efficacy of oral AD04 0.33 mg administered BID in conjunction with brief psychosocial counselling for a period of 24 weeks in reducing alcohol consumption among currently consuming subjects with AUD having selected genotypes at the serotonin transporter and receptor genes.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
60979,2018-004893-84,Denmark,Denmark - DHMA,2019-05-27,,Ongoing,Psychiatry and Psychology [F] - Mental Disorders [F03],To examine the efficacy of Cannabidiol (CBD) for treatment of psychosis,"Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
