,EudraCT Number:,Country,Member State,Start Date,End Date,Trial Status:,Therapeutic area,Main objective of the trial,Trial Scope,Trial Phase,Age Group,Gender
65382,2018-004337-32,United Kingdom,Poland - Office for Medicinal Products,2019-08-28,2022-01-20,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the safety and tolerability of atogepant 30 mg twice per day (BID) and atogepant 60 mg once daily for the prevention of chronic migraine (CM). To prospectively test for superiority of atogepant 30 mg twice per day (BID) and atogepant 60 mg once daily versus placebo for the prevention of CM.,"Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65383,2018-004337-32,United Kingdom,Spain - AEMPS,2019-11-07,,Completed,Diseases [C] - Nervous System Diseases [C10],"To evaluate the safety and tolerability of atogepant 30 mg twice per day (BID) and atogepant 60 mg once daily for the prevention of chronic migraine (CM). To prospectively test for superiority of atogepant 30 mg twice per day (BID) and atogepant 60 mg once daily versus placebo for the prevention of CM. Evaluar la seguridad y tolerabilidad de atogepant 30 mg dos veces al día (b.i.d.) y de 60 mg una vez a día para la prevención de la migraña crónica (MC). Estudiar de manera prospectiva la superioridad de atogepant 30 mg b.i.d. y 60 mg una vez al día respecto al placebo, para la prevención de la MC","Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65385,2018-003742-17,United States,Spain - AEMPS,2019-06-11,2022-07-21,Prematurely Ended,Diseases [C] - Nervous System Diseases [C10],The primary objective of the study is to evaluate the efficacy of TEV-50717 to reduce the severity of dyskinetic involuntary movements associated with CP. El objetivo principal del estudio es evaluar la eficacia del TEV-50717 para reducir la gravedad de los movimientos discinéticos involuntarios asociados a la PC.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years)","Female, Male"
65388,2018-004337-32,United Kingdom,Sweden - MPA,2019-08-20,2022-01-20,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the safety and tolerability of atogepant 30 mg twice per day (BID) and atogepant 60 mg once daily for the prevention of chronic migraine (CM). To prospectively test for superiority of atogepant 30 mg twice per day (BID) and atogepant 60 mg once daily versus placebo for the prevention of CM.,"Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65392,2018-004337-32,United Kingdom,Czechia - SUKL,2019-08-01,2022-01-20,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the safety and tolerability of atogepant 30 mg twice per day (BID) and atogepant 60 mg once daily for the prevention of chronic migraine (CM). To prospectively test for superiority of atogepant 30 mg twice per day (BID) and atogepant 60 mg once daily versus placebo for the prevention of CM.,"Prophylaxis, Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65397,2018-003742-17,United States,Poland - Office for Medicinal Products,2019-05-10,2022-07-21,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of the study is to evaluate the efficacy of TEV-50717 to reduce the severity of dyskinetic involuntary movements associated with CP.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years), Adults (18-64 years)","Female, Male"
65405,2018-003742-17,United States,Italy - Italian Medicines Agency,2021-01-27,,Ongoing,Diseases [C] - Nervous System Diseases [C10],The primary objective of the study is to evaluate the efficacy of TEV-50717 to reduce the severity of dyskinetic involuntary movements associated with CP. L’obiettivo primario dello studio è quello di valutare l’efficacia di TEV-50717 nel ridurre la gravità di movimenti discinetici involontari associati alla paralisi cerebrale (CP).,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years), Adults (18-64 years)","Female, Male"
65441,2020-003911-90,United States,Slovakia - SIDC (Slovak),2021-01-13,2022-08-19,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of RT001 on the 28 element PSPRS (PSPRS-28),"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65454,2020-003911-90,United States,Germany - BfArM,2020-11-30,2022-08-18,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of RT001 on the 28 element PSPRS (PSPRS-28).,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65462,2020-003911-90,United States,Poland - Office for Medicinal Products,2021-04-20,2022-08-29,Completed,Diseases [C] - Nervous System Diseases [C10],This study is designed to evaluate the effect of RT001 on the 28 element PSPRS (PSPRS-28).,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65465,2020-003911-90,United States,Hungary - National Institute of Pharmacy,2020-12-09,2022-08-29,Completed,Diseases [C] - Nervous System Diseases [C10],This study is designed to evaluate the effect of RT001 on the 28 element PSPRS (PSPRE-28).,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65635,2019-003159-12,United States,Spain - AEMPS,2021-06-09,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"- Evaluate the safety, tolerability and immunogenicity of 3 dose levels of PR006A administered via suboccipital injection into the cisterna magna. - Quantify PGRN levels in blood and CSF. • Evaluar la seguridad, la tolerabilidad e inmunogenicidad de 3 niveles de dosis de PR006A administrado mediante inyección suboccipital en la cisterna magna • Cuantificar los niveles de PGRN en sangre y LCR","Therapy, Safety, Efficacy","Human pharmacology (Phase I), Therapeutic exploratory (Phase II)","Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65653,2019-003159-12,United States,Belgium - FPS Health-DGM,2021-05-27,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"- Evaluate the safety, tolerability and immunogenicity of 3 dose levels of PR006A administered via suboccipital injection into the cisterna magna. - Quantify PGRN levels in blood and CSF.","Therapy, Safety, Efficacy","Human pharmacology (Phase I), Therapeutic exploratory (Phase II)","Adults (18-64 years), Elderly (>=65 years)","Female, Male"
65676,2021-003577-63,Italy,Italy - Italian Medicines Agency,2022-09-13,,Ongoing,Diseases [C] - Nervous System Diseases [C10],The primary objective of this study is to evaluate the effects of ozanimod in RRMS patients in limiting the progression of brain neurodegenerative phenomena over the course of 2 years. L'obiettivo principale di questo studio è valutare gli effetti di ozanimod nei pazienti con sclerosi multipla a ricadute e remissioni nel limitare la progressione dei fenomeni neurodegenerativi cerebrali nel corso di 2 anni di trattamento.,"Therapy, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
65856,2009-011470-15,Netherlands,Bulgarian Drug Agency,2010-04-30,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65859,2009-011470-15,Switzerland,Hungary - National Institute of Pharmacy,2010-06-01,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65863,2009-011470-15,Switzerland,Netherlands - Competent Authority,2010-06-03,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65871,2022-002668-65,United States,Germany - BfArM,2022-09-16,,,Diseases [C] - Nervous System Diseases [C10],To assess the long-term safety of vatiquinone in subjects with FA previously exposed to vatiquinone in Study PTC743-NEU-003-FA or Study PTC743-NEU-005-FA,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years), Adults (18-64 years)","Female, Male"
65873,2016-000434-21,Portugal,Portugal - INFARMED,2016-09-14,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"The primary objective of the study is to evaluate safety and tolerability as defined by the frequency of the adverse events (AEs) of flu-like symptoms (FLS) [chills, pyrexia, myalgia, and asthenia], injection site reactions (ISRs), and injection site reaction pain (ISR-P), over 24 weeks of treatment (the active comparator period) with PLEGRIDY™ 125 μg SC every 2 weeks versus current SC IFN-β therapy in subjects with RRMS.","Therapy, Safety",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
65889,2009-011470-15,Netherlands,Poland - Office for Medicinal Products,2010-05-25,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65895,2009-011470-15,Netherlands,Finland - Fimea,2010-02-09,,Completed,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65899,2009-011470-15,Netherlands,UK - MHRA,2010-03-29,,GB - no longer in EU/EEA,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65910,2009-011470-15,Netherlands,Germany - BfArM,2010-04-08,,Completed,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65918,2022-002668-65,United States,Spain - AEMPS,2022-12-14,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To assess the long-term safety of vatiquinone in subjects with FA previously exposed to vatiquinone in Study PTC743-NEU-003-FA or Study PTC743-NEU-005-FA Evaluar la seguridad a largo plazo de la vatiquinona en personas con AF a las que previamente se ha administrado vatiquinona en el estudio PTC743-NEU-003-FA o PTC743-NEU-005-FA,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),"Children (2-11years), Adolescents (12-17 years), Adults (18-64 years)","Female, Male"
65927,2009-011470-15,Netherlands,Sweden - MPA,2010-03-04,,Completed,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65943,2009-011470-15,Netherlands,Austria - BASG,2010-06-28,,Completed,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65944,2009-011470-15,Netherlands,Czechia - SUKL,2010-03-29,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"All objectives for this study are exploratory:  - To investigate the long-term safety and tolerability of ponesimod. - To investigate the long-term efficacy of ponesimod. - To explore the dose response relationship of 10, 20 and 40 mg ponesimod on lymphocyte count, MRI endpoints, annualized relapse rate (ARR), and safety endpoints.","Therapy, Safety, Efficacy",Therapeutic exploratory (Phase II),Adults (18-64 years),"Female, Male"
65949,2020-000207-36,United Kingdom,Netherlands - Competent Authority,2020-12-04,,Ongoing,Diseases [C] - Nervous System Diseases [C10],Part 1: The primary objective is to evaluate the safety and tolerability of BIIB105 in participants with amyotrophic lateral sclerosis (ALS) or poly- CAG expansion (polyQ)-ALS. Part 2: The primary objective is to evaluate the long-term safety and tolerability of BIIB105 in participants with ALS or polyQ-ALS. Parts 1 and 2: The primary objective is to evaluate the long-term safety and tolerability of BIIB105 in participants with ALS or polyQ-ALS.,"Safety, Efficacy","Human pharmacology (Phase I), Therapeutic exploratory (Phase II)","Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66129,2020-001285-11,Netherlands,Netherlands - Competent Authority,2020-11-13,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To explore the analgesic effect of lacosamide compared to duloxetine in patients with painful chemotherapy-induced polyneuropathy.,"Therapy, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66138,2021-000028-36,Germany,Bulgarian Drug Agency,2021-11-08,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To demonstrate the efficacy of IMU-838 versus placebo in adult patients with active RMS in delaying the occurrences of relapses based on time to first relapse (T2FR),"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
66183,2021-000028-36,Germany,Lithuania - SMCA,2021-11-04,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To demonstrate the efficacy of IMU-838 versus placebo in adult patients with active RMS in delaying the occurrences of relapses based on time to first relapse (T2FR),"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
66204,2018-003221-29,Spain,Germany - BfArM,2018-12-27,,Ongoing,Diseases [C] - Nervous System Diseases [C10],- To assess the efficacy of XEN1101 compared to placebo on focal seizure frequency in adults with focal epilepsy taking 1-3 antiepileptic drugs (AEDs) in the double-blind period (DBP). - To assess the safety and tolerability of XEN1101 in adults with focal epilepsy taking 1-3 AEDs in the DBP.,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66205,2021-005200-35,United States,Netherlands - Competent Authority,2022-05-11,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"1. To evaluate the CNS activity of DNL310 vs idursulfase as measured by the cerebrospinal fluid (CSF) concentration of heparan sulfate (HS) in participants with the neuronopathic form of mucopolysaccharidosis type II (nMPS II)  2. To evaluate the clinical CNS efficacy of DNL310 vs idursulfase on adaptive behavior as assessed by the Vineland Adaptive Behavior Scale, Third Edition (Vineland-3), in nMPS II participants","Therapy, Safety, Efficacy","Therapeutic exploratory (Phase II), Therapeutic confirmatory (Phase III)","Children (2-11years), Adolescents (12-17 years)","Female, Male"
66207,2018-003221-29,Spain,UK - MHRA,2018-12-27,,GB - no longer in EU/EEA,Diseases [C] - Nervous System Diseases [C10],- To assess the efficacy of XEN1101 compared to placebo on focal seizure frequency in adults with focal epilepsy taking 1-3 antiepileptic drugs (AEDs) in the DBP. - To assess the safety and tolerability of XEN1101 in adults with focal epilepsy taking 1-3 AEDs in the DBP.,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66211,2021-005200-35,United States,Spain - AEMPS,2022-05-12,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"1. To evaluate the CNS activity of DNL310 vs idursulfase as measured by the cerebrospinal fluid (CSF) concentration of heparan sulfate (HS) in participants with the neuronopathic form of mucopolysaccharidosis type II (nMPS II)  2. To evaluate the clinical CNS efficacy of DNL310 vs idursulfase on adaptive behavior as assessed by the Vineland Adaptive Behavior Scale, Third Edition (Vineland-3), in nMPS II participants 1.Evaluar la actividad en el SNC de DNL310 en comparación con la idursulfasa determinada mediante la concentración de heparán sulfato (HS) en el líquido cefalorraquídeo (LCR) en participantes con la forma neuronopática de la mucopolisacaridosis de tipo II (MPS II-n). 2.Evaluar la eficacia clínica en el SNC de DNL310 en comparación con la idursulfasa en la conducta adaptativa evaluada mediante las Escalas de conducta adaptativa de Vineland, tercera edición (Vineland-3), en participantes con MPS II-n.","Therapy, Safety, Efficacy","Therapeutic exploratory (Phase II), Therapeutic confirmatory (Phase III)","Children (2-11years), Adolescents (12-17 years)","Female, Male"
66227,2018-003221-29,Spain,Italy - Italian Medicines Agency,2020-10-22,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"- To assess the efficacy of XEN1101 compared to placebo on focal seizure frequency in adults with focal epilepsy taking 1-3 antiepileptic drugs (AEDs) in the double-blind period (DBP). - To assess the safety and tolerability of XEN1101 in adults with focal epilepsy taking 1-3 AEDs in the DBP. - Valutare l’efficacia di XEN1101 rispetto al placebo sulla frequenza di crisi focali, in adulti con epilessia focale che assumono 1-3 farmaci antiepilettici (Antiepileptic Drugs, AED) nel DBP. - Valutare la sicurezza e la tollerabilità di XEN1101 in adulti con epilessia focale che assumono 1-3 AED nel DBP.","Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66230,2018-003342-16,Austria,Austria - BASG,2019-10-17,,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of erenumab compared with placebo on achieving medication overuse headache (MOH) remission during the double-blind treatment period (DBTP),"Safety, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
66231,2018-003342-16,United Kingdom,UK - MHRA,2019-08-20,,GB - no longer in EU/EEA,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of erenumab compared with placebo on achieving medication overuse headache (MOH) remission during the double-blind treatment period (DBTP),"Safety, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
66235,2021-005200-35,United States,Sweden - MPA,2022-06-22,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"1. To evaluate the CNS activity of DNL310 vs idursulfase as measured by the cerebrospinal fluid (CSF) concentration of heparan sulfate (HS) in participants with the neuronopathic form of mucopolysaccharidosis type II (nMPS II)  2. To evaluate the clinical CNS efficacy of DNL310 vs idursulfase on adaptive behavior as assessed by the Vineland Adaptive Behavior Scale, Third Edition (Vineland-3), in nMPS II participants","Therapy, Safety, Efficacy","Therapeutic exploratory (Phase II), Therapeutic confirmatory (Phase III)","Children (2-11years), Adolescents (12-17 years)","Female, Male"
66239,2021-005200-35,United States,Belgium - FPS Health-DGM,2022-05-16,,,Diseases [C] - Nervous System Diseases [C10],"1. To evaluate the CNS activity of DNL310 vs idursulfase as measured by the cerebrospinal fluid (CSF) concentration of heparan sulfate (HS) in participants with the neuronopathic form of mucopolysaccharidosis type II (nMPS II)  2. To evaluate the clinical CNS efficacy of DNL310 vs idursulfase on adaptive behavior as assessed by the Vineland Adaptive Behavior Scale, Third Edition (Vineland-3), in nMPS II participants","Therapy, Safety, Efficacy","Therapeutic exploratory (Phase II), Therapeutic confirmatory (Phase III)","Children (2-11years), Adolescents (12-17 years)","Female, Male"
66243,2018-003342-16,Finland,Finland - Fimea,2019-08-02,,Completed,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of erenumab compared with placebo on achieving medication overuse headache (MOH) remission during the double-blind treatment period (DBTP),"Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66244,2018-003342-16,Spain,Spain - AEMPS,2019-07-04,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of erenumab compared with placebo on achieving medication overuse headache (MOH) remission during the double-blind treatment period (DBTP) Evaluar el efecto de erenumab en comparación con placebo sobre el logro de la remisión de la cefalea por abuso de medicación (CAM) durante el período de tratamiento a doble ciego (PTDC).,"Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66261,2018-003342-16,Poland,Poland - Office for Medicinal Products,2019-07-22,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of erenumab compared with placebo on achieving medication overuse headache (MOH) remission during the double-blind treatment period (DBTP),"Safety, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
66265,2021-005200-35,United States,Czechia - SUKL,2022-05-24,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"1. To evaluate the CNS activity of DNL310 vs idursulfase as measured by the cerebrospinal fluid (CSF) concentration of heparan sulfate (HS) in participants with the neuronopathic form of mucopolysaccharidosis type II (nMPS II)  2. To evaluate the clinical CNS efficacy of DNL310 vs idursulfase on adaptive behavior as assessed by the Vineland Adaptive Behavior Scale, Third Edition (Vineland-3), in nMPS II participants","Therapy, Safety, Efficacy","Therapeutic exploratory (Phase II), Therapeutic confirmatory (Phase III)","Children (2-11years), Adolescents (12-17 years)","Female, Male"
66268,2021-005200-35,United States,Germany - PEI,2022-04-27,,,Diseases [C] - Nervous System Diseases [C10],"1. To evaluate the CNS activity of DNL310 vs idursulfase as measured by the cerebrospinal fluid (CSF) concentration of heparan sulfate (HS) in participants with the neuronopathic form of mucopolysaccharidosis type II (nMPS II)  2. To evaluate the clinical CNS efficacy of DNL310 vs idursulfase on adaptive behavior as assessed by the Vineland Adaptive Behavior Scale, Third Edition (Vineland-3), in nMPS II participants","Therapy, Safety, Efficacy","Therapeutic exploratory (Phase II), Therapeutic confirmatory (Phase III)","Children (2-11years), Adolescents (12-17 years)","Female, Male"
66273,2018-003342-16,Italy,Italy - Italian Medicines Agency,2021-06-14,,Ongoing,Diseases [C] - Nervous System Diseases [C10],"To evaluate the effect of erenumab compared with placebo on achieving medication overuse headache (MOH) remission during the double-blind treatment period (DBTP) Valutare l’effetto di erenumab rispetto al placebo in termini di conseguimento di una remissione della cefalea da uso eccessivo di farmaci (MOH) durante il periodo di trattamento in doppio cieco (Double-Blind Treatment Period, DBTP)","Safety, Efficacy",Therapeutic use (Phase IV),Adults (18-64 years),"Female, Male"
66280,2018-003342-16,Portugal,Portugal - INFARMED,2019-07-24,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of erenumab compared with placebo on achieving medication overuse headache (MOH) remission during the double-blind treatment period (DBTP),"Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66282,2018-003221-29,Spain,Spain - AEMPS,2019-01-22,,Ongoing,Diseases [C] - Nervous System Diseases [C10],- To assess the efficacy of XEN1101 compared to placebo on focal seizure frequency in adults with focal epilepsy taking 1-3 antiepileptic drugs (AEDs) - To assess the safety and tolerability of XEN1101 in adults with focal epilepsy taking 1-3 AEDs - Evaluar la eficacia del XEN1101 frente a un placebo sobre la frecuencia de crisis focales en adultos con epilepsia focal que toman de 1 a 3 fármacos antiepilépticos (FAE) - Evaluar la seguridad y tolerabilidad del XEN1101 en adultos con epilepsia focal que toman de 1 a 3 FAE,"Safety, Efficacy",Therapeutic exploratory (Phase II),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66284,2021-005200-35,United States,France - ANSM,2022-05-20,,,Diseases [C] - Nervous System Diseases [C10],"1. To evaluate the CNS activity of DNL310 vs idursulfase as measured by the cerebrospinal fluid (CSF) concentration of heparan sulfate (HS) in participants with the neuronopathic form of mucopolysaccharidosis type II (nMPS II)  2. To evaluate the clinical CNS efficacy of DNL310 vs idursulfase on adaptive behavior as assessed by the Vineland Adaptive Behavior Scale, Third Edition (Vineland-3), in nMPS II participants","Therapy, Safety, Efficacy","Therapeutic exploratory (Phase II), Therapeutic confirmatory (Phase III)","Children (2-11years), Adolescents (12-17 years)","Female, Male"
66288,2018-003342-16,United States,Hungary - National Institute of Pharmacy,2019-08-06,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To evaluate the effect of erenumab compared with placebo on achieving medication overuse headache (MOH) remission during the double-blind treatment period (DBTP),"Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
66299,2017-000639-15,Hungary,Croatia - MIZ,2018-04-13,2020-11-12,Completed,Diseases [C] - Nervous System Diseases [C10],To determine the Annualized Relapse Rate (ARR) in subjects with RMS after 96 weeks (approximately 2 years) treatment with IV infusion of ublituximab/oral placebo compared to 14 mg oral teriflunomide/IV placebo.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
66303,2017-000639-15,Hungary,Spain - AEMPS,2017-10-10,2020-11-12,Completed,Diseases [C] - Nervous System Diseases [C10],"To determine the annualized relapse rate (ARR) in subjects with RMS after 96 weeks (approximately 2 years) treatment with IV infusion of ublituximab/oral placebo compared to 14 mg teriflunomide/IV placebo taken orally daily. Determinar la tasa anualizada de recidivas (TAR) en pacientes con EMR, tras 96 semanas (unos dos años [un año equivale a 365,25 días]) de tratamiento con ublituximab mediante infusión i.v./placebo por vía oral, en comparación con la administración diaria de 14 mg de teriflunomida por vía oral / placebo por vía i.v.","Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
66326,2017-000639-15,Hungary,UK - MHRA,2017-09-06,,GB - no longer in EU/EEA,Diseases [C] - Nervous System Diseases [C10],To determine the Annualized Relapse Rate (ARR) in subjects with RMS after 96 weeks (approximately 2 years) treatment with IV infusion of ublituximab/oral placebo compared to 14 mg teriflunomide/IV placebo.,"Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
66369,2017-000639-15,Hungary,Poland - Office for Medicinal Products,2017-09-22,2020-11-12,Completed,Diseases [C] - Nervous System Diseases [C10],To determine the Annualized Relapse Rate (ARR) in subjects with RMS after 96 weeks (approximately 2 years) treatment with IV infusion of ublituximab/oral placebo compared to 14 mg oral teriflunomide/IV placebo.,"Therapy, Safety, Efficacy",Therapeutic confirmatory (Phase III),Adults (18-64 years),"Female, Male"
66391,2013-005391-17,United Kingdom,Latvia - SAM,2016-07-25,,Completed,Diseases [C] - Nervous System Diseases [C10],The primary objective of the study is to evaluate the PK of perampanel during the Maintenance Period of the Core Study following oral suspension administration given as an adjunctive therapy in pediatric subjects from 1 month to less than 4 years of age with epilepsy.,Safety,Therapeutic exploratory (Phase II),"Infants and toddlers (28 days-23 months), Children (2-11years)","Female, Male"
66410,2016-004846-28,Netherlands,Netherlands - Competent Authority,2017-09-12,,Ongoing,Diseases [C] - Nervous System Diseases [C10],To evaluate the efficacy of sodium oxybate (SXB) as a medical intervention to promote sleep in patients suffering from sleep disruption in the ICU. Evalueren van de werkzaamheid van natriumoxybaat (SXB) als een medische interventie om een verstoorde nachtslaap bij patiënten op de intensive care te behandelen.,"Therapy, Safety, Efficacy",Therapeutic use (Phase IV),"Adults (18-64 years), Elderly (>=65 years)","Female, Male"
