RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
10361,2016-004558-13,Z7224L02,Interventional studies with investigational medicinal products,Zambon SpA,"A double-blind, placebo controlled, multicentre, clinical trial to investigate the efficacy and safety of 12 months of therapy with inhaled colistimethate sodium in the treatment of subjects with non-cystic fibrosis bronchiectasis chronically infected with Pseudomonas aeruginosa (P. aeruginosa)",Ended,,27/07/2020,07/08/2020,"A double-blind, placebo controlled, multicentre, clinical trial to investigate the efficacy and safety of 12 months of therapy with inhaled colistimethate sodium in the treatment of subjects with non-cystic fibrosis bronchiectasis chronically infected with Pseudomonas aeruginosa (P. aeruginosa)",No,Non-cystic fibrosis bronchiectasis chronically infected with Pseudomonas aeruginosa ,,Yes,,"Adult , Elderly","Female , Male"
10381,2019-004647-74,LPS15834,Interventional studies with investigational medicinal products,sanofi-aventis groupe,"Randomized, double blind, placebo controlled study to evaluate the effect of dupilumab on airway inflammation through assessments of lung function, mucus plugging and other lung imaging parameters in patients with asthma",Not Commenced,,13/05/2020,09/09/2020,The effect of dupilumab on lung function and related changes in airway volumes detectable by functional respiratory imaging in patients with moderate-severe asthma ,No,Asthma,,,Yes,Adult,"Female , Male"
10441,2019-003851-12,20968,Interventional studies with investigational medicinal products,   Bayer AG                                                                                      ,"Randomized, Double-Masked, Active-Controlled, Phase 3 Study of the Efficacy and Safety of High Dose Aflibercept in Patients With Neovascular Age-Related Macular Degeneration",Ended,,01/07/2020,15/06/2020,Study to gather information on safety and use of high dose aflibercept injection into the eye in patients with an age related eye disorder that causes blurred vision or a blind spot due to abnormal blood vessels that leak fluid into the light sensitive lining inside the eye,No,Neovascular Age-Related Macular Degeneration,,Yes,,"Adult , Elderly","Female , Male"
10461,2020-000402-29,GR41987,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A MULTICENTER, OPEN-LABEL EXTENSION STUDY TO EVALUATE THE LONG-TERM SAFETY AND TOLERABILITY OF FARICIMAB IN PATIENTS WITH DIABETIC MACULAR EDEMA",Active,,26/05/2020,15/06/2020,A Study to Evaluate the Long-Term Safety and Tolerability of Faricimab in Patients with Diabetic Macular Edema,No,Diabetic Macular Edema (DME),,Yes,,"Adult , Elderly","Female , Male"
10481,2019-002463-10,BO42864,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, RANDOMIZED, OPEN-LABEL STUDY OF PRALSETINIB VERSUS STANDARD OF CARE FOR FIRST-LINE TREATMENT OF RET FUSION-POSITIVE, METASTATIC NON-SMALL CELL LUNG CANCER",Active,,30/06/2020,14/01/2021,A study comparing pralsetinib to a standard of care in patients with lung cancer,No,"RET fusion-positive, Metastatic Non-Small Cell Lung Cancer",,Yes,,"Adult , Elderly","Female , Male"
10501,2019-002533-11,AC-055-315,Interventional studies with investigational medicinal products,Actelion Pharmaceuticals Ltd.,"A Phase 3, Prospective, Multicenter, Double-blind, Double-dummy, Randomized, Active-controlled, Parallel-group, Group-sequential, Adaptive, Event-driven Study to Compare Efficacy, Safety, and Tolerability of Macitentan 75 mg Versus Macitentan 10 mg in Patients with Pulmonary Arterial Hypertension, Followed by an Open-label Treatment
Period With Macitentan 75 mg.",Active,,07/07/2020,31/08/2020,A Phase 3 study to compare long-term efficacy and safety of macitentan 75 mg versus 10 mg in Pulmonary Arterial Hypertension.,No,Pulmonary arterial hypertension,,Yes,,"Adult , Elderly","Female , Male"
10521,2020-001348-25,COMP004,Interventional studies with investigational medicinal products,"COMPASS Pathways, Ltd",A multicentre study to assess safety and efficacy of psilocybin in patients with treatment-resistant depression following completion of COMP 001 and COMP 003 trials (P-TRD LTFU),Not Commenced,,08/07/2020,06/07/2020,Long Term Follow up study for subjects that participated in COMP001 and COMP003 trial,No,Treatment-Resistant Depression (P-TRD),Yes,,,"Adult , Elderly","Female , Male"
10561,2020-001366-11,Solidarity-Plus,Interventional studies with investigational medicinal products,AICIB - Agência de Investigação Clínica e Inovação Biomédica,"An international randomised trial of additional treatments for COVID-19 in hospitalised patients who are all receiving the local standard of care



",Active,,07/05/2020,20/05/2020,An international randomised trial of additional treatments for COVID-19 in hospitalised patients who are all receiving the local standard of care,No,COVID-19,,Yes,,"Adult , Elderly","Female , Male"
10562,2020-000306-29,20103,Interventional studies with investigational medicinal products,   Bayer AG                                                                                      ,"A multicenter, randomized, double-blind, parallel-group, placebo-controlled study to evaluate the efficacy and safety of finerenone on morbidity and mortality in participants with heart failure (NYHA II-IV) and left ventricular ejection fraction ¿ 40% (LVEF ¿ 40%).",Active,,09/06/2020,31/08/2020,A study to gather information on the influence of  study drug finerenone  on the number of deaths and hospitalizations in participants with heart failure.,No,Heart failure,,Yes,,"Adult , Elderly","Female , Male"
10581,2019-000710-11,SOLTI-1718,Interventional studies with investigational medicinal products,SOLTI,Targeting EGFR/ERBB2 with Neratinib in hormone receptor (HR)-positive/HER2-negative HER2-enriched advanced/metastatic breast cancer (NEREA trial),Active,,11/09/2020,31/08/2020,Clinical study with Neratinib in Metastatic breast cancer,No,Pre and post-menopausal women and men with locally advanced or metastatic HR+/HER2-negative endocrine resistant breast cancer,Yes,,,"Adult , Elderly","Female , Male"
10601,2020-000100-11,GO41892,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, MULTICENTER, RANDOMIZED, OPEN-LABEL,  CONTROLLED STUDY TO EVALUATE THE EFFICACY, SAFETY, AND PHARMACOKINETICS OF  TEZOLIZUMAB GIVEN IN COMBINATION WITH CABOZANTINIB VERSUS DOCETAXEL MONOTHERAPY IN PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER PREVIOUSLY TREATED WITH AN ANTI-PD-L1/PD-1 ANTIBODY AND PLATINUM-CONTAINING CHEMOTHERAPY",Active,,17/07/2020,31/08/2020,Study of Atezolizumab in Combination with Cabozantinib Versus Docetaxel in Patients with Metastatic Non-Small Cell Lung Cancer Previously Treated With an Anti-PD-L1/PD-1 Antibody and Platinum-Containing Chemotherapy,No,Non-small cell lung cancer (NSCLC),,Yes,,"Adult , Elderly","Female , Male"
10621,2019-004084-49,TAS-120-202,Interventional studies with investigational medicinal products,Taiho Oncology Inc,A PHASE 2 STUDY OF FUTIBATINIB IN PATIENTS WITH SPECIFIC FGFR ABERRATIONS ,Active,,22/07/2020,12/10/2020,A study of futibatinib in patients with FGFR gene-modified cancers,No,Fibroblast growth factor receptor (FGFR) aberrations,Yes,,,Adult,"Female , Male"
10641,2019-001739-29,MedOPP243,Interventional studies with investigational medicinal products,MedSIR (Medica Scientia Innovation Research),"A Multicenter, Open-Label, Single-Arm, Multicohort Phase II Clinical Trial of Trastuzumab Deruxtecan (DS-8201a) in Human Epidermal Growth Factor Receptor2 (HER2)-Positive Advanced Breast Cancer with Brain Metastases and/or Leptomeningeal Carcinomatosis",Not Commenced,,04/02/2021,09/06/2021,Breast cancer patiens with brain metastasis,No,"Pretreated, unresectable locally advanced or metastatic Human Epidermal Growth
Factor Receptor 2 (HER2)-positive or HER2-low expressing breast cancer (BC) with
untreated or treated brain metastases (BMs) or leptomeningeal carcinomatosis
(LMC).
",Yes,,,"Adult , Elderly","Female , Male"
10701,2016-005119-42,MO39193,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, RANDOMISED, DOUBLE-BLIND, PLACEBO-CONTROLLED, MULTICENTRE STUDY OF THE EFFICACY AND SAFETY OF ATEZOLIZUMAB PLUS CHEMOTHERAPY FOR PATIENTS WITH EARLY RELAPSING RECURRENT (INOPERABLE LOCALLY ADVANCED OR METASTATIC) TRIPLE-NEGATIVE BREAST CANCER",Active,,30/07/2020,31/08/2020,A Study of the Efficacy and Safety of Atezolizumab Plus Chemotherapy for Patients with Early Relapsing Recurrent Triple-Negative Breast Cancer,No,Triple-Negative Breast Cancer (TNBC),,Yes,,"Adult , Elderly","Female , Male"
10721,2019-004980-36,MS200527-0082,Interventional studies with investigational medicinal products,Merck Healthcare KGaA,"A Phase III, Multicenter, Randomized, Parallel Group, Double Blind, Double Dummy, Active Controlled Study of Evobrutinib Compared with Teriflunomide, in Participants with Relapsing Multiple Sclerosis to Evaluate Efficacy and Safety.",Active,,12/08/2020,06/01/2021,Evobrutinib compared to Teriflunomide in participants with Relapsing Multiple Sclerosis,No,Relapsing Multiple Sclerosis,,Yes,,Adult,"Female , Male"
10761,2020-001747-21,ISPUP2020CT1,Interventional studies with investigational medicinal products,Instituto de Saúde Pública da Universidade do Porto,Impact of Montelukast as add on treatment to the novel coronavirus pneumonia (COVID-19): an investigator-initiated open labelled randomized controlled pragmatic trial ,Not Commenced,,29/06/2020,06/08/2020,Efficacy and safety of Montelukast as add on treatment to the novel coronavirus pneumonia (COVID-19),No,Novel coronavirus pneumonia (COVID-19),,,Yes,Adult,"Female , Male"
10781,2019-002754-22,TCC-201,Interventional studies with investigational medicinal products,Ascendis Pharma Growth Disorders A/S,"ACcomplisH: A Phase 2, multicenter, double-blind, randomized, placebo-controlled, dose escalation trial evaluating safety, efficacy, and pharmacokinetics of subcutaneous doses of TransCon CNP administered once weekly for 52 weeks in prepubertal children with achondroplasia followed by an Open-Label Extension Period",Not Commenced,,27/08/2020,05/02/2021,"A Phase 2 study to evaluate the safety, efficacy and pharmacokinetics of TransCon CNP in prepubertal children with achondroplasia followed by an Open-Label Extension Period",No,Achondroplasia (ACH) in prepubertal children,Yes,,,Under 18,"Female , Male"
10801,2019-004749-33,1381-0011,Interventional studies with investigational medicinal products,Unilfarma - União Internacional Laboratórios Farmacêuticos Lda.,"An open label, randomized Phase II study of BI 754091 alone or in combination with BI 836880 in patients with chemotherapy resistant, unresectable, metastatic squamous cell carcinoma of the anal canal",Not Commenced,,09/09/2020,06/07/2020,A study to test BI 754091 alone or in combination with BI 836880 in people who have advanced anal cancer,No,metastatic squamous cell carcinoma of the anal canal,Yes,,,"Adult , Elderly","Female , Male"
10821,2020-000440-63,GR41984,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, MULTICENTER, RANDOMIZED, DOUBLE-MASKED, ACTIVE COMPARATOR-CONTROLLED STUDY TO EVALUATE THE
EFFICACY AND SAFETY OF FARICIMAB IN PATIENTS WITH MACULAR EDEMA SECONDARY TO BRANCH RETINAL VEIN OCCLUSION
",Active,,03/08/2020,31/08/2020,A Study to Evaluate the Efficacy and Safety of Faricimab in Patients with Macular Edema Secondary to Branch Retinal Vein Occlusion,No,Macular edema secondary to Branch Retinal Vein Occlusion,,Yes,,"Adult , Elderly","Female , Male"
10822,2020-000441-13,GR41986,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, MULTICENTER, RANDOMIZED, DOUBLE-MASKED, ACTIVE COMPARATOR-CONTROLLED STUDY TO EVALUATE THE EFFICACY AND SAFETY OF FARICIMAB IN PATIENTS WITH MACULAR EDEMA SECONDARY TO CENTRAL RETINAL OR HEMIRETINAL VEIN OCCLUSION
",Active,,03/08/2020,31/08/2020,A Study to Evaluate the Efficacy and Safety of Faricimab in Patients with Macular Edema Secondary to Central Retinal or Hemiretinal Vein Occlusion,No,Macular edema secondary to Central Retinal or Hemiretinal Vein Occlusion,,Yes,,"Adult , Elderly","Female , Male"
10841,2018-004670-10,AG10-333,Interventional studies with investigational medicinal products,"Eidos Therapeutics, Inc.","A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study of the Efficacy and Safety of AG10 in Subjects with Symptomatic Transthyretin Amyloid Polyneuropathy (ATTRibute-PN Trial)",Not Commenced,,10/08/2020,16/11/2020,Study of the Efficacy and Safety of AG10 in participants with Transthyretin Amyloid Polyneuropathy  (ATTR-PN),Yes,Symptomatic Transthyretin Amyloid Polineuropathy (ATTR-PN),,Yes,,"Adult , Elderly","Female , Male"
10901,2019-004297-26,C19-29,Interventional studies with investigational medicinal products,INSERM - Institut National de la Santé et de la Recherche Médicale,Prophylactic treatment of the ductus arteriosus in preterm infants by acetaminophen,Not Commenced,,08/06/2020,27/07/2020,Prophylactic treatment of the ductus arteriosus in preterm infants by paracetamol,No,Patent ductus arteriosus,Yes,Yes,,Under 18,"Female , Male"
10921,2018-004362-34,CA209-8TT,Interventional studies with investigational medicinal products,Bristol-Myers Squibb International Corporation,Pan Tumor Study for Long Term Follow-up of Cancer Survivors Who Have Participated in Trials Investigating Nivolumab,Not Commenced,,27/07/2020,31/08/2020,Study to evaluate long-term safety of nivolumab for subjects with cancer who will be provided nivolumab or have finished treatment and are now in or have completed follow up on another study of nivolumab or nivolumab combination,No,pan tumor,Yes,,,"Adult , Elderly","Female , Male"
10941,2019-004773-29,GO41854,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, OPEN-LABEL, RANDOMIZED STUDY OF ATEZOLIZUMAB AND  TIRAGOLUMAB COMPARED WITH DURVALUMAB IN PATIENTS WITH LOCALLY ADVANCED, UNRESECTABLE STAGE III NON-SMALL CELL LUNG CANCER WHO HAVE NOT PROGRESSED AFTER CONCURRENT PLATINUM-BASED CHEMORADIATION.",Active,,27/07/2020,31/08/2020,"A Study of Atezolizumab and Tiragolumab compared with Durvalumab in Patients with Locally Advanced, Unresectable Stage III Non¿Small Cell Lung Cancer who have not Progressed after Concurrent Platinum-based Chemoradiation.",No,Non¿small cell lung cancer (NSCLC),,Yes,,"Adult , Elderly","Female , Male"
10981,2019-002992-33,54135419TRD3013,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,"A Randomized, Open-label, Rater-Blinded, Active-Controlled, International, Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of Flexibly Dosed Esketamine Nasal Spray Compared With Quetiapine Extended-Release in Adult and Elderly Participants With Treatment-Resistant Major Depressive Disorder Who are Continuing a Selective Serotonin Reuptake Inhibitor/Serotonin-Norepinephrine Reuptake Inhibitor",Ended,,08/10/2020,23/10/2020,A comparison of Esketamine Nasal Spray versus Quetiapine Extended-Release.,No,Treatment-Resistant Major Depressive Disorder,,Yes,,"Adult , Elderly","Female , Male"
11001,2019-003957-27,20115,Interventional studies with investigational medicinal products,   Bayer AG                                                                                      ,"A randomized, double-blind, parallel group, placebo-controlled, multi-center study to assess the safety and tolerability of monthly subcutaneous administrations of a low and high dose cohort of osocimab to ESRD patients on regular hemodialysis",Ended,,10/08/2020,09/10/2020,Study to investigate the safety of a drug called osocimab at low and high doses in adult patients with kidney failure requiring regular hemodialysis,No,Prevention of thromboembolic events in ESRD patients on hemodialysis who are at risk for thromboembolic events,Yes,,,"Adult , Elderly","Female , Male"
11041,2020-000348-77,XL184-315,Interventional studies with investigational medicinal products,"Exelixis, Inc.","A Phase 3, Randomized, Open-Label, Controlled Study of Cabozantinib (XL184) in Combination with Atezolizumab vs Second Novel Hormonal Therapy (NHT) in Subjects with Metastatic Castration-Resistant Prostate Cancer ",Active,,27/08/2020,10/11/2020,Study of Cabozantinib in Combination With Atezolizumab compared to Second Novel Hormonal Therapy (NHT) in Subjects with Metastatic Castration-Resistant Prostate Cancer,No,Metastatic Castration-Resistant Prostate Cancer,,Yes,,"Adult , Elderly",Male
11061,2019-003509-80,IMGN853-0416,Interventional studies with investigational medicinal products,ImmunoGen Inc.,"MIRASOL: A Randomized, Open-label, Phase 3 Study of Mirvetuximab Soravtansine vs. Investigator's Choice of Chemotherapy in Platinum-Resistant Advanced High-Grade Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancers with High Folate Receptor-Alpha Expression",Active,,07/08/2020,05/02/2021,"A study to test Mirvetuximab Soravtansine (IMGN853) aganist doctor's
choice of cancer medicines in women with advanced Epithelial Ovarian, Primary Peritoneal, or Fallopian Tube Cancers",No,"Advanced High-Grade Epithelial Ovarian, Primary Peritoneal, or Fallopian
Tube Cancers with High Folate Receptor-Alpha Expression",,Yes,,"Adult , Elderly",Female
11081,2020-001178-31,YO42137,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE III, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY OF ATEZOLIZUMAB WITH OR WITHOUT TIRAGOLUMAB (ANTI-TIGIT ANTIBODY) IN PATIENTS WITH UNRESECTABLE ESOPHAGEAL SQUAMOUS CELL CARCINOMA WHOSE CANCERS HAVE NOT PROGRESSED FOLLOWING DEFINITIVE CONCURRENT CHEMORADIOTHERAPY.",Active,,22/09/2020,21/09/2020,A Study of Atezolizumab with or without Tiragolumab (Anti-TIGIT Antibody) in Patients with Unresectable Esophageal Squamous Cell Carcinoma whose Cancers have not Progressed following Definitive Concurrent Chemoradiotherapy.,No,Esophageal squamous cell carcinoma,,Yes,,"Adult , Elderly","Female , Male"
11101,2019-004873-17,NBI-74788-CAH3003,Interventional studies with investigational medicinal products,Neurocrine Biosciences Inc.,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Crinecerfont (NBI-74788) in Adult Subjects with Classic Congenital Adrenal Hyperplasia, Followed by Open-Label Treatment",Not Commenced,,01/10/2020,23/11/2020,A study of safety and efficacy of NBI-74788 in Classic Congenital Adrenal Hyperplasia,No,Classic Congenital Adrenal Hyperplasia (CAH),,Yes,,"Adult , Elderly","Female , Male"
11121,2018-002620-17,18-513,Interventional studies with investigational medicinal products,"Alexion Pharmaceuticals, Inc.",A RANDOMIZED CLINICAL TRIAL OF ANDEXANET ALFA IN ACUTE INTRACRANIAL HEMORRHAGE IN PATIENTS RECEIVING AN ORAL FACTOR XA INHIBITOR,Active,,28/08/2020,20/11/2020,A clinical trial to study the effect of andexanet alfa compared to the usual care with regards to stopping severe/life threatening bleeding in patients with bleeding inside the skull,No,Oral FXa inhibitor-treated patients with acute intracranial bleeding.,,,Yes,"Adult , Elderly","Female , Male"
11141,2020-000894-26,BN42083,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE IIIB MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY TO EVALUATE THE EFFICACY, SAFETY AND PHARMACOKINETICS OF A HIGHER DOSE OF OCRELIZUMAB IN ADULTS WITH PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS",Active,,08/10/2020,04/12/2020,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults with Primary Progressive Multiple Sclerosis",No,Primary Progressive Multiple Sclerosis (MS),,Yes,,Adult,"Female , Male"
11161,2019-003406-27,SL0043,Interventional studies with investigational medicinal products,UCB Biopharma SRL,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Dapirolizumab Pegol in Study Participants With Moderately to Severely Active Systemic Lupus Erythematosus",Not Commenced,,16/11/2020,14/12/2020,A Study to evaluate the efficacy and safety of dapirolizumab pegol in study participants with moderately to severely active systemic lupus erythematosus,No,Systemic lupus erythematosus (SLE),,Yes,,"Under 18 , Adult , Elderly","Female , Male"
11181,2020-000893-69,BN42082,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"A PHASE IIIB MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY TO EVALUATE THE EFFICACY, SAFETY AND PHARMACOKINETICS OF A HIGHER DOSE OF OCRELIZUMAB IN ADULTS WITH RELAPSING MULTIPLE SCLEROSIS ",Active,,24/09/2020,04/12/2020,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults with Relapsing Multiple Sclerosis",No,Relapsing Multiple Sclerosis (MS),,Yes,,Adult,"Female , Male"
11221,2020-000936-23,C20-15,Interventional studies with investigational medicinal products,INSERM - Institut National de la Santé et de la Recherche Médicale,"Multi-centre, adaptive, randomized trial of the safety and efficacy of treatments of COVID-19 in hospitalized adults ",Active,,10/07/2020,11/08/2020,Safety and efficacy of treatments of COVID-19 in hospitalized adults (Discovery),No,"COVID-19 infection

",,Yes,,"Adult , Elderly","Female , Male"
11241,2019-004435-23,208379,Interventional studies with investigational medicinal products,ViiV Healthcare UK Limited,"A Phase IIb, randomized, partially blind, active controlled, dose-range finding study of GSK3640254 compared to a reference arm of dolutegravir, each in combination with nucleoside reverse transcriptase inhibitors, in HIV-1 infected antiretroviral treatment-naive adults",Active,,25/11/2020,02/11/2020,A Phase 2b Dose-Range Finding Clinical Trial in HIV-1 Infected Treatment-Naive Adults,No,Human Immunodeficiency Virus Type-1 (HIV-1),Yes,,,"Adult , Elderly","Female , Male"
11242,2019-003618-15,BAY1841788/20321,Interventional studies with investigational medicinal products,Bayer Consumer Care AG,"An open-label, single arm, roll-over study to provide continued treatment with darolutamide in participants who were enrolled in previous Bayer-sponsored studies",Ended,,23/09/2020,21/09/2020,An open study for participants who have been on darolutamide treatment in any other Bayer study.,No,PROSTATE CANCER,,Yes,,"Adult , Elderly",Male
11261,2017-004417-42,MK3475-587,Interventional studies with investigational medicinal products,"Merck Sharp & Dohme Corp., a subsidiary of Merck & Co. Inc.","A Multicenter, Open label, Phase III Extension Trial to Study the Long-term Safety and Efficacy in Participants with Advanced Tumors Who Are Currently on Treatment or in Follow-up in a Pembrolizumab Trial.",Active,,01/09/2020,23/12/2020, Extension Study for Participants With Advanced Tumors in Pembrolizumab Trials,No,Advanced Tumors,,Yes,,"Adult , Elderly","Female , Male"
11281,2020-000743-31,73841937NSC3003,Interventional studies with investigational medicinal products,Janssen-Cilag International N.V.,"A Phase 3, Randomized Study of Amivantamab and Lazertinib Combination Therapy Versus Osimertinib Versus Lazertinib as First-Line Treatment in Patients with EGFR Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer",Active,,23/12/2020,04/02/2021,A Clinical Study of Amivantamab and Lazertinib Combination Therapy Versus Osimertinib Versus Lazertinib as First-Line Treatment in Patients with EGFR-Mutated Locally Advanced or Metastatic Non-Small Cell Lung Cancer,No,EGFR-mutated locally advanced or metastatic Non Small Cell Lung Cancer,,Yes,,"Adult , Elderly","Female , Male"
11321,2018-002952-34,NN9924-4437,Interventional studies with investigational medicinal products,Novo Nordisk A/S,Efficacy and safety of oral semaglutide versus placebo both in combination with metformin and/or basal insulin in children and adolescents with type 2 diabetes,Active,,31/08/2020,15/01/2021,A research study to compare a new medicine oral semaglutide to a dummy medicine in children and teenagers with type 2 diabetes,Yes,"Diabetes Mellitus, Type 2",,Yes,,Under 18,"Female , Male"
11322,2020-003057-30,20190370,Interventional studies with investigational medicinal products,Amgen Inc.,Omecamtiv Mecarbil Post-trial Access Protocol for Subjects Completing Study 20110203 GALACTIC-HF,Ended,,13/11/2020,12/10/2020,Omecamtiv Mecarbil Post-trial Access Protocol for Subjects Completing Study 20110203 GALACTIC-HF,No,Chronic heart failure with reduced ejection fraction,,Yes,,"Adult , Elderly","Female , Male"
11341,2018-002364-44,IELSG47,Interventional studies with investigational medicinal products,IELSG - INTERNATIONAL EXTRANODAL LYMPHOMA STUDY GROUP,MALIBU trial - Phase II study of combination ibrutinib and rituximab in untreated marginal zone lymphomas,Active,,07/10/2020,13/01/2021,Clinical study of ibrutinib and rituximab in untreated marginal zone lymphomas,No,Previously untreated and symptomatic patients with histologically proven CD20-positive marginal zone B-cell lymphoma (MZL) in need of systemic treatment,Yes,,,"Adult , Elderly","Female , Male"
11381,2012-000566-38,UC-0160/1202_/_GETUG-AFU_23,Interventional studies with investigational medicinal products,UNICANCER,"A randomized Phase III, factorial design, of cabazitaxel and pelvic radiotherapy in patients with localized prostate cancer and high-risk features of relapse",Not Commenced,,31/03/2021,19/03/2021,_,No,localized prostate cancer with high-risk features of relapse,,Yes,,"Adult , Elderly",Male
11441,2020-001578-31,CINC280A2301,Interventional studies with investigational medicinal products,Novartis Pharma AG,"A phase III, randomized, controlled, open-label, multicenter, global study of capmatinib versus SoC docetaxel chemotherapy in previously treated patients with EGFR wt, ALK negative, locally advanced or metastatic (stage IIIB/IIIC or IV) NSCLC harboring MET exon 14 skipping mutation (MET¿ex14)",Ended,,27/10/2020,14/12/2020,Study of efficacy of capmatinib in comparison with standard of care docetaxel as a second or third line therapy in participants with non-small cell lung cancers harboring MET exon 14 skipping mutation.,No,cMET mutated NSCLC,,Yes,,"Adult , Elderly","Female , Male"
11461,2020-001217-20,LPS16677,Interventional studies with investigational medicinal products,Sanofi-aventis recherche & développement,"A phase 4, randomized, double-blind, placebo-controlled, multicenter, parallel-group study of the effect of dupilumab on sleep disturbance in patients with uncontrolled persistent asthma",Not Commenced,,17/11/2020,23/11/2020,Dupilumab asthma sleep study,No,Asthma,,,Yes,Adult,"Female , Male"
11481,2020-001496-32,KB070,Interventional studies with investigational medicinal products,Kedrion S.p.A,"A Phase III, Open-label, Prospective, Multicenter Study to Assess Efficacy, Safety, and Pharmacokinetics of Kedrion Intravenous Human Normal Immunoglobulin (IVIg) 10% in Pediatric Patients Affected by Primary Immunodeficiency Disease (PID)",Not Commenced,,11/05/2021,19/03/2021,"Study, in which all know the treatment assigned to the patient, conducted in more sites, to evaluate the efficaty, safety, and metabolism of Kedrion in venous Human Normal Immunoglobulin (IVIg) 10% in child with Primary Immunodeficiency Disease (PID)",Yes,Pediatric Patients Affected by Primary Immunodeficiency Disease.,,Yes,,Under 18,"Female , Male"
11501,2020-000917-34,20-214-29/CA045-022,Interventional studies with investigational medicinal products,Nektar Therapeutics,"A Phase 3, Randomized, Open-label Study to Compare Adjuvant Immunotherapy of Bempegaldesleukin Combined with Nivolumab Versus Nivolumab After Complete Resection of Melanoma in Patients at High Risk for Recurrence (PIVOT-12)",Active,,11/09/2020,28/11/2020,A study of bempegaldesleukin plus nivolumab versus nivolumab alone after surgical removal of all known Melanoma lesions in patients at high risk of cancer returning after surgery,Yes,Resected Stage IIIA (lymph node metastasis > 1 mm)/B/C/D and IV melanoma with no evidence of disease,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
11521,2020-000766-42,WN42171,Interventional studies with investigational medicinal products,F. Hoffmann-La Roche Ltd,"AN OPEN-LABEL, MULTICENTER, ROLLOVER STUDY TO EVALUATE THE SAFETY, TOLERABILITY, AND EFFICACY OF LONG-TERM GANTENERUMAB
ADMINISTRATION IN PARTICIPANTS WITH ALZHEIMER'S DISEASE",Active,,30/10/2020,13/01/2021,"An Open-Label Study to Evaluate the Safety, Tolerability, and Efficacy of Long-Term Gantenerumab Administration in Participants with Alzheimer's Disease",No,Alzheimer's Disease,,Yes,,"Adult , Elderly","Female , Male"
11541,2020-000377-25,MS202359_0006,Interventional studies with investigational medicinal products,Merck Healthcare KGaA,"A randomized, double-blind placebo-controlled, Phase 3 study of Debio 1143 in combination with platinum-based chemotherapy and standard fractionation intensity-modulated radiotherapy in patients with locally advanced squamous cell carcinoma of the head and neck, suitable for definitive chemoradiotherapy (TrilynX)",Not Commenced,,17/08/2020,12/03/2021,A clinical trial in patients with head and neck cancer of Debio 1143 in combination with platinum-based  chemotherapy and radiotherapy ,No,Locally advanced squamous cell carcinoma of the head and neck (SCCHN),,Yes,,"Adult , Elderly","Female , Male"
11561,2017-000236-34,ELAN,Interventional studies with investigational medicinal products,Inselspital (University Hospital) Bern,"Early versus Late initiation of direct oral Anticoagulants in post-ischaemic stroke patients with atrial fibrillatioN (ELAN): an international, multicentre, randomised-controlled, two-arm, assessor-blinded trial",Not Commenced,,26/10/2020,28/09/2021,"Early versus Late initiation of direct oral Anticoagulants in post-ischaemic stroke patients with atrial fibrillatioN (ELAN): an international, multicentre, randomised-controlled, two-arm, assessor-blinded trial",No,Recurrent strokes in patients with atrial fibrillation who suffered an ischaemic stroke,,,Yes,"Adult , Elderly","Female , Male"
